iter	Passed	Remaining
0	99	112280
1	192	108275
2	297	111330
3	391	109834
4	488	109629
5	594	111011
6	693	110789
7	795	111222
8	903	112181
9	997	111323
10	1117	113272
11	1210	112404
12	1313	112436
13	1407	111764
14	1498	110990
15	1594	110652
16	1690	110295
17	1802	110934
18	1903	110875
19	1999	110570
20	2100	110501
21	2193	110093
22	2289	109808
23	2386	109560
24	2487	109542
25	2586	109410
26	2689	109463
27	2783	109161
28	2883	109093
29	2981	108919
30	3083	108913
31	3176	108602
32	3281	108692
33	3443	110591
34	3552	110743
35	3650	110518
36	3747	110300
37	3852	110302
38	3953	110196
39	4050	109972
40	4152	109899
41	4266	110116
42	4375	110210
43	4520	111164
44	4718	113352
45	4937	115915
46	5148	118204
47	5358	120338
48	5623	123596
49	5878	126508
50	6151	129665
51	6433	132878
52	6698	135611
53	6953	138036
54	7229	140775
55	7506	143426
56	7765	145641
57	8126	149637
58	8387	151692
59	8671	154060
60	8934	155985
61	9211	158081
62	9473	159847
63	9746	161736
64	10010	163400
65	10355	166308
66	10616	167802
67	10895	169527
68	11172	171156
69	11473	173078
70	11755	174679
71	12043	176307
72	12319	177700
73	12641	179710
74	12908	180884
75	13179	182090
76	13457	183336
77	13727	184443
78	13993	185452
79	14283	186753
80	14551	187736
81	14862	189223
82	15133	190171
83	15399	191031
84	15719	192513
85	16017	193695
86	16254	194121
87	16551	195227
88	16829	196091
89	17070	196501
90	17374	197611
91	17626	198108
92	17887	198685
93	18151	199276
94	18381	199487
95	18573	199281
96	18701	198388
97	18803	197247
98	18896	196028
99	18988	194819
100	19089	193734
101	19186	192616
102	19273	191429
103	19385	190494
104	19496	189578
105	19599	188603
106	19700	187614
107	19803	186663
108	19901	185690
109	20015	184870
110	20116	183944
111	20214	183010
112	20307	182048
113	20408	181173
114	20498	180204
115	20636	179681
116	20733	178808
117	20837	178005
118	20935	177157
119	21038	176373
120	21139	175582
121	21244	174835
122	21355	174142
123	21451	173338
124	21548	172556
125	21654	171861
126	21754	171121
127	21849	170355
128	21945	169608
129	22049	168933
130	22144	168198
131	22245	167516
132	22347	166847
133	22444	166159
134	22535	165424
135	22633	164754
136	22727	164070
137	22832	163467
138	22925	162785
139	23024	162159
140	23119	161508
141	23220	160905
142	23308	160226
143	23404	159604
144	23517	159105
145	23610	158483
146	23700	157841
147	23810	157340
148	23896	156690
149	23996	156139
150	24090	155548
151	24188	154995
152	24286	154447
153	24396	153981
154	24496	153456
155	24597	152946
156	24686	152363
157	24779	151811
158	24865	151224
159	24959	150690
160	25052	150156
161	25150	149661
162	25255	149207
163	25353	148717
164	25439	148167
165	25537	147688
166	25624	147150
167	25720	146667
168	25816	146193
169	25918	145752
170	26019	145312
171	26109	144816
172	26198	144316
173	26292	143853
174	26377	143343
175	26480	142933
176	26571	142466
177	26668	142032
178	26762	141584
179	26876	141250
180	26966	140790
181	27060	140355
182	27148	139897
183	27240	139459
184	27333	139033
185	27430	138628
186	27522	138199
187	27617	137795
188	27708	137367
189	27806	136982
190	27897	136564
191	27996	136189
192	28087	135782
193	28209	135521
194	28303	135131
195	28398	134748
196	28498	134393
197	28607	134077
198	28701	133702
199	28798	133335
200	28890	132951
201	28984	132581
202	29073	132189
203	29167	131826
204	29260	131459
205	29356	131106
206	29445	130726
207	29542	130386
208	29644	130065
209	29759	129808
210	29857	129477
211	29957	129154
212	30055	128830
213	30158	128527
214	30262	128229
215	30370	127949
216	30470	127637
217	30594	127429
218	30693	127120
219	30790	126802
220	30884	126470
221	30991	126199
222	31084	125870
223	31204	125652
224	31296	125325
